Reviews,Label
"Beware of HIDDEN FEES! I stayed 2 nights in the past October, and paid beforehand. 2 weeks later, I noticed my credit card was charged an extra $68.87. They explained it was a mandatory facility fee, $30 a night, plus tax. But it was NOT highlighted at their website at all. If it's mandatory, it should have been included when I paid for the booking. The room was fine. Not terrible, but definitely old. I stayed at a room with Times Square view on the 44th floor. The windows look like they haven't been cleaned for years. Shower water pressure was so strong it hurt a little, and no matter how you close the curtain, the dry area always flood a little afterwards. Don't pay close attention to the furnitures, carpet, wall corners, there are stains and cracks and god knows what.",F
"Beware of HIDDEN FEES! I stayed 2 nights in the past October, and paid beforehand. 2 weeks later, I noticed my credit card was charged an extra $68.87. They explained it was a mandatory facility fee, $30 a night, plus tax. But it was NOT highlighted at their website at all. If it's mandatory, it should have been included when I paid for the booking. The room was fine. Not terrible, but definitely old. I stayed at a room with Times Square view on the 44th floor. The windows look like they haven't been cleaned for years. Shower water pressure was so strong it hurt a little, and no matter how you close the curtain, the dry area always flood a little afterwards. Don't pay close attention to the furnitures, carpet, wall corners, there are stains and cracks and god knows what.",R
"Beware of HIDDEN FEES! I stayed 2 nights in the past October, and paid beforehand. 2 weeks later, I noticed my credit card was charged an extra $68.87. They explained it was a mandatory facility fee, $30 a night, plus tax. But it was NOT highlighted at their website at all. If it's mandatory, it should have been included when I paid for the booking. The room was fine. Not terrible, but definitely old. I stayed at a room with Times Square view on the 44th floor. The windows look like they haven't been cleaned for years. Shower water pressure was so strong it hurt a little, and no matter how you close the curtain, the dry area always flood a little afterwards. Don't pay close attention to the furnitures, carpet, wall corners, there are stains and cracks and god knows what.",R
"Beware of HIDDEN FEES! I stayed 2 nights in the past October, and paid beforehand. 2 weeks later, I noticed my credit card was charged an extra $68.87. They explained it was a mandatory facility fee, $30 a night, plus tax. But it was NOT highlighted at their website at all. If it's mandatory, it should have been included when I paid for the booking. The room was fine. Not terrible, but definitely old. I stayed at a room with Times Square view on the 44th floor. The windows look like they haven't been cleaned for years. Shower water pressure was so strong it hurt a little, and no matter how you close the curtain, the dry area always flood a little afterwards. Don't pay close attention to the furnitures, carpet, wall corners, there are stains and cracks and god knows what.",R
"Beware of HIDDEN FEES! I stayed 2 nights in the past October, and paid beforehand. 2 weeks later, I noticed my credit card was charged an extra $68.87. They explained it was a mandatory facility fee, $30 a night, plus tax. But it was NOT highlighted at their website at all. If it's mandatory, it should have been included when I paid for the booking. The room was fine. Not terrible, but definitely old. I stayed at a room with Times Square view on the 44th floor. The windows look like they haven't been cleaned for years. Shower water pressure was so strong it hurt a little, and no matter how you close the curtain, the dry area always flood a little afterwards. Don't pay close attention to the furnitures, carpet, wall corners, there are stains and cracks and god knows what.",R
"HORRIBLE SERVICE: I am trying to reach the corporate office to file a complaint about our AWFUL experience. We are staying at the millennium hotel in New York and the service desk representatives were very rude. I called the front desk to extend my stay past the 2pm checkout. I asked for the price and it was higher than the previous night and they said we had to change rooms. I kindly asked if I could speak to the manager, and the rep said �What do you need to speak to a manager for? They can�t help you with any.� I responded can I please talk to one and the representative hung up on me. We went downstairs to talk to the manager and he did nothing to solve our issue. Besides the bad customer service, there are stains on the sheets and brown circles in the bathtub. The pictures online are VERY deceiving. Facebook will only let me upload that one picture. We were only trying to extend because we had to drive to New York from Maryland because of an emergency. I wish zero stars was an option!",F
"HORRIBLE SERVICE: I am trying to reach the corporate office to file a complaint about our AWFUL experience. We are staying at the millennium hotel in New York and the service desk representatives were very rude. I called the front desk to extend my stay past the 2pm checkout. I asked for the price and it was higher than the previous night and they said we had to change rooms. I kindly asked if I could speak to the manager, and the rep said �What do you need to speak to a manager for? They can�t help you with any.� I responded can I please talk to one and the representative hung up on me. We went downstairs to talk to the manager and he did nothing to solve our issue. Besides the bad customer service, there are stains on the sheets and brown circles in the bathtub. The pictures online are VERY deceiving. Facebook will only let me upload that one picture. We were only trying to extend because we had to drive to New York from Maryland because of an emergency. I wish zero stars was an option!",F
"HORRIBLE SERVICE: I am trying to reach the corporate office to file a complaint about our AWFUL experience. We are staying at the millennium hotel in New York and the service desk representatives were very rude. I called the front desk to extend my stay past the 2pm checkout. I asked for the price and it was higher than the previous night and they said we had to change rooms. I kindly asked if I could speak to the manager, and the rep said �What do you need to speak to a manager for? They can�t help you with any.� I responded can I please talk to one and the representative hung up on me. We went downstairs to talk to the manager and he did nothing to solve our issue. Besides the bad customer service, there are stains on the sheets and brown circles in the bathtub. The pictures online are VERY deceiving. Facebook will only let me upload that one picture. We were only trying to extend because we had to drive to New York from Maryland because of an emergency. I wish zero stars was an option!",R
"HORRIBLE SERVICE: I am trying to reach the corporate office to file a complaint about our AWFUL experience. We are staying at the millennium hotel in New York and the service desk representatives were very rude. I called the front desk to extend my stay past the 2pm checkout. I asked for the price and it was higher than the previous night and they said we had to change rooms. I kindly asked if I could speak to the manager, and the rep said �What do you need to speak to a manager for? They can�t help you with any.� I responded can I please talk to one and the representative hung up on me. We went downstairs to talk to the manager and he did nothing to solve our issue. Besides the bad customer service, there are stains on the sheets and brown circles in the bathtub. The pictures online are VERY deceiving. Facebook will only let me upload that one picture. We were only trying to extend because we had to drive to New York from Maryland because of an emergency. I wish zero stars was an option!",R
"HORRIBLE SERVICE: I am trying to reach the corporate office to file a complaint about our AWFUL experience. We are staying at the millennium hotel in New York and the service desk representatives were very rude. I called the front desk to extend my stay past the 2pm checkout. I asked for the price and it was higher than the previous night and they said we had to change rooms. I kindly asked if I could speak to the manager, and the rep said �What do you need to speak to a manager for? They can�t help you with any.� I responded can I please talk to one and the representative hung up on me. We went downstairs to talk to the manager and he did nothing to solve our issue. Besides the bad customer service, there are stains on the sheets and brown circles in the bathtub. The pictures online are VERY deceiving. Facebook will only let me upload that one picture. We were only trying to extend because we had to drive to New York from Maryland because of an emergency. I wish zero stars was an option!",R
"The Millennium Broadway Hotel is in a great location. Close to restaurants and Broadway shows. A short walk away. Our doorman, LeFon went way above and beyond the call of duty to ensure our comfort and safety. Thank you for your hospitality!",R
"The Millennium Broadway Hotel is in a great location. Close to restaurants and Broadway shows. A short walk away. Our doorman, LeFon went way above and beyond the call of duty to ensure our comfort and safety. Thank you for your hospitality!",R
"The Millennium Broadway Hotel is in a great location. Close to restaurants and Broadway shows. A short walk away. Our doorman, LeFon went way above and beyond the call of duty to ensure our comfort and safety. Thank you for your hospitality!",R
