Reviews,Label
"very nice visit with family over the Halloween weekend. Clean . very responsive staff to all our needs , umbrellas when raining, car, breakfast. thank you to amalia vasquez and crisela amaor for their kind assistance during the breakfast meals, the room staff and front desk. also enjoyed Hojoko next door.",Real
"Crisela and Amalia were so very nice and very sweet. They had everything prepared and we're happy to take special requests, we are very pleased! The smoothies were excellent and they were happy to make them.",Real
"Pass by this place frequently and didn’t know it was a hotel. Such a cool vibe and experience, most importantly…affordable! Workers were very nice as well. Just wish there were better parking options…other than that i Will be coming back!",Real
"What FUN! The rooms are clean and somewhat large, the staff is nothing be wonderful and accommodating. They do whatever it takes to make you comfortable. Hats off to the breakfast attendants as well, especially Paula, Crisela and Amalia, nice, professional again doing whatever they can to please. Highly recommend especially if you like rock and roll!! In back of Fenway Park if you a sports fan.",Real
Neat boutique hotel for Boston music scene lovers and Boston Red Sox Fans! Record player in every room and a lovely all year round outdoor salt water pool. Complimentary Cold brew and hot coffee at front desk. Modern decor. Very hip and cool music memorabilia!,Real
"Great first time stay here at Verb!! Everything was great from check in to check out! We will definitely be back. The rooms were clean, comfortable and quiet. Breakfast had a great selection of hot and cold options and was excellent.",Real
"This is our second time staying here. Hotel is soo convenient to Fenway and Valet parking is a plus. Everyone here has been so friendly and the hotel has a really cool atmosphere. Not luxury but comfortable, clean and cool decor. The restaurant next door has a continental breakfast with a good selection and really lovely people working there. Crisela was so kind and helpful with my kids endless requests.",Real
"Great room, very clean, had everything I needed. Friendly, laid back atmosphere. Very relaxing. Nice continental breakfast with friendly servers. Right next to Fenway so it will be loud on game nights - bring earplugs if you’re not watching the game. Will stay again.",Real
"ROOM 109 was comfortable BUT at night the room was lit up like daylight. The curtain did not contain the lights by the pool, we had a very poor night sleep. The room was too expensive for the accommodations.",Real
"This review is specific to Amalia (breakfast attendant) and the other early AM staff at the Verb. Awesome service! Early flight in got me to the hotel many hours before check in, but the staff checked my bag for me and they had a great complimentary breakfast available right then and there. Amalia was wonderful, answering my questions with kindness you don't often see at 7am. Looking forward to the rest of my stay, and future visits.",Real
"This rock and roll themed hotel was great. Loved all the posters and other memorabilia. Every room has a turn table and there are tons of records you can get from the lobby to play. Beds were very comfortable. Breakfast was a cut above with excellent baked goods, hard boiled eggs,, fruit, yogurt and waffles - and all served with a smile. Only issue for us was it was a ways from most of our activities which were closer to Back Bay area and convention center.",Real
"This hotel is everything it advertised and more! The great music theme vibe, the amazing photo ops and the staff are all so friendly. Continental breakfast included :) Crisela the breakfast attendant was the best.",Real
