Reviews,Label
Best hotel everrr!,R
Back at The Verb!,R
We loved Verb & Ryan so much,R
Stay here if you get the chance,R
Best Hotel in Boston,R
Amazing!,R
Heated outdoor pool a must,R
Rock Boston at the Verb!,R
Breakfast at The Verb,R
"Fun, funky and fantastic staff",R
Our two boys (5 and 7) absolutely love this place. It’s our second visit and just as good as the first. Amalia and Paula took great care of us at breakfast (magical breakfast feast of all the things banned at home with some healthy stuff to placate the parents) and the vinyl selection is so fun. Now we’re off to jump in the pool again - in November - in Massachusetts…,R
"As always, a wonderful, vinyl spinning stay in the Fenway, at The Verb Hotel. Come for the funky atmosphere & vinyl, stay for the wonderful staff & Hojoko restaurant. Crisela will make you feel welcome at Breakfast and Audrey takes care of everything else!",R
"This hotel is beautiful, service is amazing. Ryan is one of the best workers here. We loved him! so friendly and all around cool guy. Also shout out to Chris too. Thank you Verb for the lovely experience, will be back soon xx",R
Staff was warm and exciting the minute we stepped in. The ambiance was as cool as it gets. It’s like you step into a time warp that somehow includes the 50s through today. Staff and room cleaning was more than accommodating. Super fun location right by Fenway and only a short Uber to and from popular spots. Couldn’t recommend this place enough.,R
"What an amazing, funky place to stay! We loved our experience at the Verb Hotel in Boston. ALL of the staff was super friendly, knowledge and cared about our trip and our experiences while we were in Boston. We loved the vinyl library and having our very own record player in our room! We were in town for a show at the House of Blues, easy walk from the Hotel and plenty of places to grab yummy food nearby. We'll be back for sure!",R
Our stay was absolutely wonderful! We loved this hotel! Everyone was so nice we especially liked Cisco and Mustafa! They were so accommodating and gave good advice which helped since we had never been to Boston. We would definitely stay here again!,R
"very unique hotel and a plus for the kids because there’s an outside heated pool. It was heated to I think close to 90° or maybe 100 which was needed especially if you’re visiting this hotel in the month of February. Not a fan of the breakfast at the diner attached to the hotel but the hotel is located in Fenway so many options for you to choose from. The front desk was very patient, friendly, and helpful. I had such a great time that I booked for another two nights in a month of April with my husband.",R
"The hotel was so fun and had such a great vibe. It was decorated retro music complete with a record player in your room and records in the lobby available for you to listen to in your room. The room was well equipped and had clever touches throughout. In fact, the whole hotel had unexpected, original design from signage to your hotel key to the exterior. The service was even better! Our flight was delayed, and they were very accommodating. Every person we dealt with was friendly, knowledgable, and eager to help with anything we needed. Great location too!",R
"Amalia and her team made our morning so much better! They were all so friendly, helpful and kind, not to mention the breakfast was delicious!! We will be back just for that alone. They took great care of us!",R
"We were in town for appointments at Boston Children’s. I’ve always wanted to try out this hotel. Wish I’d been picking this one every time! Clean, excellent staff, good quality quick breakfast, relaxing in our room with great records to play on the record player was just unique and fun… especially with my young adult son.",R
"I was taking my high school senior daughter on a college tour to schools in Boston when I accidentally discovered this gem. I’ve been to many hotels. I’ve almost never written a review, but what an amazing, novel experience this was! In addition to an incredibly friendly staff, the rock n roll vibe and decor is everywhere. Love the record players in every room AND the hundreds of vinyl albums to choose from in the lobby. And electric guitars we could jam on near the front desk? Wow! One of the coolest, best value places one could find anywhere in the country.",R
The complementary breakfast at the Verb is delicious and the attendants are great! (Thanks Crisela Amador.)I had a waffle and a muffin and they both were wonderful. What a fantastic start to a east coast road trip.,R
crislea was very helpful with serving us breakfast and helping us and offering us anything we needed. I got a choclate crossiant and it was really good. i also got a bowl of cereal. It was all very good.,R
Brooked The Verb for a 1 night stay to take my 9yo son to his first game at Fenway. Staff was awesome and the location was perfect. Should have made it a longer stay in Boston but I already had my son miss two days of school for this trip. Absolutely will stay again when I take the rest of the family to Boston. Plenty of food choices near the hotel and in the hotel. My son also learned what a typewriter and record player was thanks to both being in the room. He was amazed at the typewriter.,R
"Great stay! Was there for a medical need and staff was super accommodating. In particular a front desk staff went out to the local CVS to buy me some medicine I didn’t have. And they brought my dinner up to my room from the downstairs ramen restaurant. The breakfast staff, Paula and Kristala were super great too! 10/10 would stay again.",R
This was such a great little eclectic hotel... everyone was so friendly and helpful - the evening manager (sorry I forgot his name) to Saulo and Blanca who were both helpful and kept my room clean. My room had a record player - and you could pick your choice of oldies but goodies and bring them to your room... Will definitely return...,R
"An exciting hotel to tease your visual and audible senses! The decor, the music, and the vibe was more than we expected. And not to forget the complimentary breakfast! Chisela and her staff made every accommodation so that we enjoyed every bite. Highly recommend the Verb, it was perfect from start to finish! The Lindsay’s from VA",R
"My friend and I attended a concert at Fenway and stayed at The Verb Hotel afterwards. The location was great and convenient, the staff was very friendly and nice, the room was clean, and the ambiance was amazing",R
"Not only was the location great, but the hotel itself is awesome. Staff was very friendly and rooms were very clean. They even had a record player in every room-totally worth the price!!! If you’re looking for a hotel to stay at for a Fenway event, look no further!",R
This place was awesome. It is a must stay place for music lovers. The staff was friendly and the hotel was very clean and located within walking distance of many of our needs. We will definitely be back!,R
"This place was better than I expected. Perfect location and within walking distance of restaurants, souvenir stores, and Fenway Park. The zebra robes were a hit with my husband! Super friendly and helpful staff.",R
"The Verb Hotel is such a fun, retro environment! Very friendly staff, including Crisela Amador who served a delicious breakfast, offer a welcoming vibe. Highly recommend a stay at the Verb, especially if you need a quick walk to Fenway Park!",R
Truly the coolest and cleanest hotel we have ever stayed in. So neat and different. The staff is INCREDIBLE. Everyone is so kind and really helpful. Chris the valet was fantastic and always had our car ready quickly. 10/10 recommend staying here if you get the chance. Best hotel experience in Boston.,R
"hi, i’m korean. i can’t speak english very well. this hotel giving for us very nice night. so If I come to Boston again, I will come to this hotel. Especially the curly-haired male staff, thank you for being so kind to me.",R
"Our stay was awesome! We stayed at the Verb so we could be with in walking distance of Fenway! The room was clean, we had free breakfast, free coffee, and even had a couple discounts for local restaurants when you showed them your room key! Overall we had a great time and would definitely stay at the Verb again!",R
"This hotel is the full rock ‘n’ roll experience, from the mid century modern meets rock ‘n’ roll lobby to the clean lines minimalist modern room decor, our stay was top notch. There were some really cool little details like free 24 cold brew in the lobby, to the bottle of champagne delivered to my room because it was my birthday, to the zebra rock ‘n’ roll robes, and the most unique thing was the in-room record player and the huge library of vinyl that you could choose from to bring up to your room The location also cannot be beat, a few minutes walk to the green line train and Fenway Park was right out my window! So very cool!",R
